iter	tid	cls	conf	cx	cy	err_x	err_y	vx	vy	fvx	fvy	x1	y1	x2	y2	fseq
277	4	16	723	180	103	30	-47	-198	120	127	-34	140	33	221	174	854
278	4	16	688	180	103	30	-47	-188	120	67	-8	139	34	222	173	857
279	4	16	664	180	104	30	-46	-174	120	110	32	140	34	221	174	860
280	4	16	688	180	103	30	-47	-198	120	33	29	140	33	221	174	862
281	4	16	688	181	103	31	-47	-188	134	167	11	142	34	220	173	865
282	4	16	676	183	104	33	-46	-174	152	-59	23	144	35	222	173	868
283	4	16	695	183	103	33	-47	-198	132	122	7	145	34	222	173	870
284	4	16	613	183	103	33	-47	-188	132	47	24	146	34	221	173	873
285	4	16	766	183	103	33	-47	-188	132	111	32	146	34	220	173	876
286	4	16	688	184	105	34	-45	-160	146	-11	24	147	36	221	175	878
287	4	16	688	184	106	34	-44	-166	136	112	52	147	36	221	176	881
288	4	16	734	185	106	35	-44	-176	150	-28	50	147	35	223	178	884
289	4	16	750	184	106	34	-44	-176	126	-42	30	147	35	222	178	886
290	4	16	750	183	106	33	-44	-176	122	-47	33	146	35	221	178	889
291	4	16	664	183	107	33	-43	-162	132	16	34	146	35	221	179	891
292	4	16	688	184	108	34	-42	-158	146	26	26	147	37	222	179	894
293	4	16	750	184	108	34	-42	-168	136	107	12	147	37	222	179	897
294	4	16	688	186	106	36	-44	-196	164	30	31	147	34	225	179	899
295	4	16	750	186	107	36	-43	-162	144	-116	40	147	34	225	180	902
296	4	16	758	188	108	38	-42	-158	172	10	23	147	35	229	182	905
297	4	16	723	190	111	40	-39	-126	180	5	25	146	37	234	185	907
298	4	16	758	191	112	41	-38	-142	174	-10	26	147	39	236	186	910
299	4	16	758	190	114	40	-36	-124	150	7	49	147	43	234	186	912
300	4	16	723	191	116	41	-34	-116	174	-69	65	147	45	235	187	915
301	4	16	734	189	116	39	-34	-136	136	74	31	146	46	233	187	918
302	4	16	715	187	117	37	-33	-122	128	-51	25	145	47	229	187	920
303	4	16	766	188	119	38	-31	-104	162	-28	17	146	50	230	188	923
304	4	16	766	188	120	38	-30	-110	152	33	21	146	51	231	189	926
305	4	16	742	188	120	38	-30	-120	152	16	28	146	51	231	190	928
306	4	16	742	188	120	38	-30	-120	152	40	23	147	50	229	190	931
307	4	16	750	186	119	36	-31	-134	124	-61	22	146	50	227	189	933
308	4	16	723	185	120	35	-30	-110	130	-27	30	146	50	224	190	936
309	4	16	773	184	120	34	-30	-120	126	81	29	146	50	223	190	939
310	4	16	715	184	121	34	-29	-106	136	95	8	147	52	222	190	941
311	4	16	715	184	122	34	-28	-102	136	78	-45	147	54	222	190	944
312	4	16	750	187	119	37	-31	-154	178	439	-271	150	51	225	188	946
313	4	16	766	189	120	39	-30	-110	176	-97	82	151	53	227	188	949
314	4	16	656	189	120	39	-30	-120	156	-88	99	151	52	228	188	952
315	4	16	734	188	120	38	-30	-120	142	-112	53	150	53	227	188	955
316	4	16	707	189	121	39	-29	-106	166	-8	15	150	53	228	189	958
317	4	16	773	187	121	37	-29	-116	128	-43	31	149	54	226	189	960
318	4	16	766	185	122	35	-28	-102	120	-32	77	148	55	223	190	963
319	4	16	766	184	123	34	-27	-98	126	-113	78	147	55	222	191	965
320	4	16	742	184	124	34	-26	-94	136	14	76	147	55	222	193	968
321	4	16	688	183	124	33	-26	-104	122	13	78	147	55	220	193	971
322	4	16	750	182	125	32	-25	-90	118	-76	32	146	55	219	196	973
323	4	16	750	181	126	31	-24	-86	114	-155	74	145	55	218	197	976
324	4	16	742	179	126	29	-24	-96	96	-74	83	144	54	215	199	978
325	4	16	773	179	126	29	-24	-96	116	-135	44	143	54	215	199	981
326	4	16	695	178	127	28	-23	-82	102	-53	62	142	54	214	200	984
327	4	16	723	178	128	28	-22	-78	112	-170	98	141	56	215	201	986
328	4	16	773	177	130	27	-20	-60	98	-104	45	139	57	216	203	989
329	4	16	758	178	130	28	-20	-80	122	-103	76	139	58	218	203	992
330	4	16	785	177	131	27	-19	-66	98	-50	56	138	58	217	204	994
331	4	16	785	177	133	27	-17	-48	108	-78	47	137	63	217	204	997
332	4	16	766	177	135	27	-15	-40	108	-132	100	136	66	219	205	1000
333	4	16	785	174	137	24	-13	-32	66	-131	89	135	69	214	205	1002
334	4	16	820	172	137	22	-13	-52	68	-165	68	134	70	211	204	1005
335	4	16	797	171	139	21	-11	-24	74	-28	64	133	73	209	205	1008
336	4	16	805	169	140	19	-10	-30	56	-136	46	131	74	207	206	1010
337	4	16	805	169	140	19	-10	-40	76	-140	63	131	74	207	207	1013
338	4	16	805	167	141	17	-9	-26	48	-75	89	130	74	205	208	1016
339	4	16	773	165	142	15	-8	-22	40	-102	92	128	75	203	209	1019
340	4	16	785	165	143	15	-7	-18	60	-128	74	127	77	203	210	1022
341	4	16	797	164	144	14	-6	-14	46	-97	76	127	78	201	211	1024
342	4	16	715	163	145	13	-5	-10	42	-156	80	126	79	200	212	1027
343	4	16	707	162	147	12	-3	8	38	-130	63	125	82	199	213	1030
344	4	16	832	161	149	11	-1	16	34	-103	75	124	84	198	215	1033
345	4	16	766	161	149	11	-1	-4	44	-85	50	124	82	199	216	1035
346	4	16	750	160	149	10	-1	-4	30	-22	50	122	81	198	218	1038
347	4	16	750	159	149	9	-1	-4	26	-217	79	120	80	199	219	1040
348	4	16	773	159	150	9	0	10	36	-126	89	120	81	199	220	1043
349	4	16	773	157	152	7	2	28	8	-87	72	118	84	197	220	1046
350	4	16	723	155	152	5	2	8	0	-26	74	117	84	194	221	1048
351	4	16	773	155	153	5	3	22	20	-80	34	117	84	193	222	1051
352	4	16	734	155	153	5	3	12	20	-140	78	117	84	193	223	1054
353	4	16	785	153	154	3	4	26	-8	-93	87	116	84	191	225	1057
354	4	16	688	153	155	3	5	30	12	-80	78	116	84	190	227	1059
355	4	16	688	150	156	0	6	34	-30	-8	34	114	84	186	229	1062
356	4	16	758	147	159	-3	9	66	-42	-255	85	111	87	184	231	1065
357	4	16	789	147	161	-3	11	64	-12	-84	69	109	90	185	233	1068
358	4	16	785	147	162	-3	12	58	-12	26	28	108	91	186	234	1071
359	4	16	785	146	164	-4	14	76	-26	-117	63	107	92	185	236	1073
360	4	16	766	146	165	-4	15	70	-16	-123	57	106	92	186	238	1076
361	4	16	785	146	166	-4	16	74	-16	-174	38	105	95	187	238	1079
362	4	16	805	143	167	-7	17	78	-58	-76	10	104	98	183	237	1081
363	4	16	797	142	168	-8	18	82	-42	4	-11	103	99	181	237	1084
364	4	16	797	141	168	-9	18	72	-46	44	-20	103	100	180	236	1087
365	4	16	789	141	168	-9	18	72	-36	-201	13	103	100	180	236	1090
366	4	16	805	140	168	-10	18	72	-50	13	-9	102	101	179	235	1093
367	4	16	723	141	168	-9	18	72	-26	-56	8	102	103	180	234	1096
368	4	16	758	140	167	-10	17	58	-50	32	-29	101	101	180	234	1098
369	4	16	750	140	168	-10	18	82	-40	-9	-12	101	102	180	234	1101
370	4	16	695	140	168	-10	18	72	-40	-134	-5	101	102	180	234	1104
371	4	16	820	139	167	-11	17	58	-54	-40	11	100	101	178	234	1107
372	4	16	813	137	167	-13	17	68	-72	-10	-16	99	100	176	234	1109
373	4	16	773	137	167	-13	17	68	-52	-22	-33	99	100	176	234	1112
374	4	16	797	138	166	-12	16	54	-38	-27	-40	100	99	177	234	1115
